Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1989","1989","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1990","1990","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1991","1991","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1992","1992","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1993","1993","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1994","1994","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1995","1995","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1996","1996","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1997","1997","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1998","1998","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","1999","1999","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2000","2000","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2001","2001","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2002","2002","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2003","2003","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2004","2004","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2005","2005","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2006","2006","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2007","2007","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2008","2008","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2009","2009","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2010","2010","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2011","2011","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2012","2012","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2013","2013","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2014","2014","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2015","2015","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72297","Implied emission factor for N2O (Burning crop residues)","56","Maize","2016","2016","g N20/kg dry matter","0.0001","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1961","1961","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1962","1962","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1963","1963","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1964","1964","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1965","1965","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1966","1966","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1967","1967","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1968","1968","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1969","1969","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1970","1970","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1971","1971","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1972","1972","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1973","1973","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1974","1974","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1975","1975","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1976","1976","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1977","1977","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1978","1978","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1979","1979","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1980","1980","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1981","1981","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1982","1982","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1983","1983","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1984","1984","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1985","1985","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1986","1986","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1987","1987","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1988","1988","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1989","1989","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1990","1990","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1991","1991","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1992","1992","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1993","1993","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1994","1994","g CH4/kg dry matter","2.7","Fc","Calculated data",""
"GB","Burning - Crop Residues","28","Myanmar","72247","Implied emission factor for CH4 (Burning crop residues)","56","Maize","1995","1995","g CH4/kg dry matter","2.7","Fc","Calculated data",""
