"Period"	"Cattle"	"Cattle"	"Sheep"	"Sheep"	"Goat"	"Goat"	"Sheep·Goat"	"Sheep·Goat"	"Pig"	"Pig"	"Fish"	"Chicken"	"Duck"	"Milk"	"Egg"	"Egg"
"Period"	"Number slaughtered (thou. No.)"	"Beef production (thou. Viss)"	"Number slaughtered (thou. No.)"	"Mutton production (thou. Viss)"	"Number slaughtered (thou. No.)"	"Meat production (thou. Viss)"	"Number slaughtered"	"Mutton production"	"Number slaughtered (thou. No.)"	"Pork production (thou. Viss)"	"Production (thou. Viss)"	"Production (thou. Viss)"	"Production (thou. Viss)"	"production (thou. Viss)"	"Hen Egg (thou. No.)"	"Duck Egg (thou. No.)"
"2010. 11"	"4431"	"443"	"11987"	"120"	"15128"	"151"	"-"	"-"	"31851"	"1593"	"11303"	"1221"	"34"	"-"	"-"	"-"
"2010. 12"	"5899"	"590"	"12371"	"124"	"18765"	"188"	"-"	"-"	"33859"	"1693"	"13391"	"1358"	"42"	"-"	"-"	"-"
"2011. 01"	"6457"	"646"	"11807"	"118"	"16338"	"163"	"-"	"-"	"32398"	"1620"	"12477"	"1350"	"38"	"-"	"-"	"-"
"2011. 02"	"7344"	"734"	"10827"	"108"	"14886"	"149"	"-"	"-"	"29273"	"1464"	"12410"	"1189"	"32"	"-"	"-"	"-"
"2011. 03"	"8055"	"806"	"11564"	"116"	"17154"	"172"	"-"	"-"	"31433"	"1572"	"12662"	"1149"	"27"	"-"	"-"	"-"
"2011. 04"	"6735"	"674"	"10781"	"108"	"15438"	"154"	"-"	"-"	"27905"	"1395"	"13096"	"1109"	"26"	"-"	"-"	"-"
"2011. 05"	"8374"	"837"	"12696"	"127"	"18150"	"182"	"-"	"-"	"28042"	"1402"	"13350"	"1161"	"28"	"-"	"-"	"-"
"2011. 06"	"7645"	"765"	"13511"	"135"	"17898"	"179"	"-"	"-"	"20653"	"1033"	"11259"	"1229"	"36"	"-"	"-"	"-"
"2011. 07"	"7875"	"788"	"13165"	"132"	"17100"	"171"	"-"	"-"	"24837"	"1242"	"9957"	"1593"	"35"	"-"	"-"	"-"
"2011. 08"	"8112"	"811"	"11141"	"111"	"14896"	"149"	"-"	"-"	"31089"	"1554"	"11790"	"1789"	"39"	"-"	"-"	"-"
"2011. 09"	"7428"	"743"	"11711"	"117"	"15108"	"151"	"-"	"-"	"31246"	"1562"	"11197"	"1643"	"38"	"-"	"-"	"-"
"2011. 10"	"7823"	"782"	"10534"	"105"	"13500"	"135"	"-"	"-"	"30594"	"1530"	"11675"	"1806"	"36"	"-"	"-"	"-"
"2011. 11"	"4817"	"482"	"7235"	"72"	"12660"	"127"	"-"	"-"	"29278"	"1464"	"15804"	"1847"	"28"	"-"	"-"	"-"
"2011. 12"	"7159"	"716"	"8689"	"87"	"13738"	"137"	"-"	"-"	"30679"	"1534"	"14679"	"1962"	"30"	"-"	"-"	"-"
"2012. 01"	"8160"	"816"	"9287"	"93"	"14601"	"146"	"-"	"-"	"31427"	"1571"	"12828"	"1906"	"40"	"-"	"-"	"-"
"2012. 02"	"6696"	"670"	"8239"	"82"	"13303"	"133"	"-"	"-"	"30160"	"1508"	"13424"	"1723"	"38"	"-"	"-"	"-"
